governorate,city,category,item,avg_price_egp,min_price_egp,max_price_egp
Matruh,El Alamein,Clothing And Shoes,Summer Dress in a Chain Store (e.g. Zara or H&M),2333.33,1000.0,3000.0
Matruh,El Alamein,Clothing And Shoes,Nike Running Shoes (Mid-Range),5375.0,3000.0,10000.0
Matruh,El Alamein,Clothing And Shoes,Men's Leather Business Shoes,4500.0,800.0,9000.0
Matruh,El Alamein,Salaries And Financing,"Annual Mortgage Interest Rate (20-Year Fixed, in %)",20.0,8.0,27.0
North Sinai,Al Arish,Restaurants,Meal at an Inexpensive Restaurant,200.0,100.0,300.0
North Sinai,Al Arish,Restaurants,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",700.0,500.0,3953.85
North Sinai,Al Arish,Restaurants,Combo Meal at McDonald's (or Equivalent Fast-Food Meal),245.0,200.0,300.0
North Sinai,Al Arish,Restaurants,Domestic Draft Beer (0.5 Liter),77.5,50.0,150.0
North Sinai,Al Arish,Restaurants,Imported Beer (0.33 Liter Bottle),150.0,95.0,210.0
North Sinai,Al Arish,Restaurants,Cappuccino (Regular Size),68.0,30.0,150.0
North Sinai,Al Arish,Restaurants,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle)",19.56,15.0,30.0
North Sinai,Al Arish,Restaurants,Bottled Water (0.33 Liter),7.09,5.0,10.0
North Sinai,Al Arish,Markets,"Milk (Regular, 1 Liter)",46.33,30.0,67.0
North Sinai,Al Arish,Markets,Fresh White Bread (500 g Loaf),25.0,10.0,55.0
North Sinai,Al Arish,Markets,White Rice (1 kg),35.12,23.0,50.0
North Sinai,Al Arish,Markets,"Eggs (12, Large Size)",73.78,60.0,84.0
North Sinai,Al Arish,Markets,Local Cheese (1 kg),135.0,50.0,200.0
North Sinai,Al Arish,Markets,Chicken Fillets (1 kg),207.12,170.0,249.0
North Sinai,Al Arish,Markets,Beef Round or Equivalent Back Leg Red Meat (1 kg),410.83,350.0,495.0
North Sinai,Al Arish,Markets,Apples (1 kg),80.0,30.0,100.0
North Sinai,Al Arish,Markets,Bananas (1 kg),31.25,25.0,50.0
North Sinai,Al Arish,Markets,Oranges (1 kg),21.67,10.0,30.0
North Sinai,Al Arish,Markets,Tomatoes (1 kg),17.67,5.0,40.0
North Sinai,Al Arish,Markets,Potatoes (1 kg),24.0,10.0,35.0
North Sinai,Al Arish,Markets,Onions (1 kg),25.0,15.0,30.0
North Sinai,Al Arish,Markets,Lettuce (1 Head),12.4,5.0,24.0
North Sinai,Al Arish,Markets,Bottled Water (1.5 Liter),10.0,7.0,15.0
North Sinai,Al Arish,Markets,Bottle of Wine (Mid-Range),225.0,200.0,250.0
North Sinai,Al Arish,Markets,Domestic Beer (0.5 Liter Bottle),72.5,55.0,90.0
North Sinai,Al Arish,Markets,Imported Beer (0.33 Liter Bottle),85.0,85.0,85.0
North Sinai,Al Arish,Markets,"Cigarettes (Pack of 20, Marlboro)",100.0,80.0,150.0
North Sinai,Al Arish,Transportation,Taxi Start (Standard Tariff),15.0,15.0,50.0
North Sinai,Al Arish,Transportation,Taxi 1 km (Standard Tariff),16.0,6.0,20.0
North Sinai,Al Arish,Transportation,Taxi 1 Hour Waiting (Standard Tariff),100.0,100.0,100.0
North Sinai,Al Arish,Transportation,Gasoline (1 Liter),18.54,13.0,24.0
North Sinai,Al Arish,Transportation,Volkswagen Golf 1.5 (or Equivalent New Compact Car),1690000.0,1690000.0,1690000.0
North Sinai,Al Arish,Transportation,Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),1441666.67,1300000.0,1700000.0
