listing_id,category,governorate,city,location_full,location_name,property_type,price_egp,price_period,price_per_sqm,size_sqm,bathrooms,latitude,longitude,is_verified,is_premium,title,agent_name,broker_name,scraped_date
66423011,Shop,Cairo,New Cairo,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Palm Hills New Cairo,Shop,188000,monthly,1000.0,188,1,30.01227188110352,31.57951545715332,False,False,Commercial Shop for Rent 188 m2 Palm Hills,Ahmed Leheta,Property Network,2026-05-12
66420895,Shop,Cairo,Cairo,"Makram Ebeid St., 6th Zone, Nasr City, Cairo",Makram Ebeid St.,Shop,60000,monthly,1500.0,40,1,30.0675106048584,31.344181060791016,False,False,Shop for rent in a prime location on Makram Ebeid,Donia M,Retaj Real Estate Consultancy,2026-05-12
66176877,Shop,Cairo,Cairo,"Al Nasr St., El Laselky, New Maadi, Hay El Maadi, Cairo",Al Nasr St.,Shop,25000,monthly,500.0,50,none,29.977924346923828,31.28835105895996,False,False,Shop for Rent in New Maadi,Sherif Gamal,Wonder Homes For Real Estate,2026-05-12
66172113,Shop,Cairo,Cairo,"Makram Ebeid St., 6th Zone, Nasr City, Cairo",Makram Ebeid St.,Shop,425000,monthly,397.2,1070,2,30.0675106048584,31.344181060791016,False,False,Commercial Showroom / Admin Headquarters for rent.,Hussien Abdelaziz Abdelaziz,ERA Real Estate Egypt,2026-05-12
70369412,Shop,Cairo,New Cairo,"North Teseen St., The 5th Settlement, New Cairo City, Cairo",North Teseen St.,Shop,1440000,monthly,1200.0,1200,2,30.07310104370117,31.53912734985352,False,False,Ready-to-rent commercial space in Fifth Settlement,Omar  Adel,Picky Properties,2026-05-12
70365756,Shop,Cairo,New Cairo,"North Teseen St., The 5th Settlement, New Cairo City, Cairo",North Teseen St.,Shop,400000,monthly,1142.86,350,2,30.07310104370117,31.53912734985352,False,False,Fully finished commercial space for rent New Cairo,Omar  Adel,Picky Properties,2026-05-12
65920865,Shop,Cairo,Cairo,"Zaker Hussein St., Al Hadiqah Al Dawliyah, 7th District, Nasr City, Cairo",Zaker Hussein St.,Shop,25000,monthly,925.93,27,1,30.044586181640625,31.33919906616211,False,False,Shop for rent in Zakir Hussein Street – Nasr City,Hossam Hassan,Retaj Real Estate Consultancy,2026-05-12
65914910,Shop,Cairo,New Cairo,"Mohamed Naguib Axis, Abou El Houl, New Cairo City, Cairo",Mohamed Naguib Axis,Shop,155000,monthly,1722.22,90,2,29.98224830627441,31.46880149841309,False,False,Modern Commercial Space 90 sqm - New Cairo,Omar  Adel,Picky Properties,2026-05-12
65909310,Shop,Cairo,Cairo,"Emarat Dobat Almaza, Al Thawra St., Almazah, Heliopolis - Masr El Gedida, Cairo",Emarat Dobat Almaza,Shop,1300000,monthly,1000.0,1300,2,30.086938858032227,31.33426856994629,False,False,Retail for Rent 1300M prime location on AlThawra,Top Homes Egypt,Top Homes Real Estate,2026-05-12
65909306,Shop,Cairo,New Cairo,"Tolip El Narges, The 5th Settlement, New Cairo City, Cairo",Tolip El Narges,Shop,277200,monthly,1400.0,198,1,30.02180862426757,31.465177536010746,False,False,Shop for rent 198m on the facade in Al Narges,Top Homes Egypt,Top Homes Real Estate,2026-05-12
65909304,Shop,Cairo,New Cairo,"Tolip El Narges, The 5th Settlement, New Cairo City, Cairo",Tolip El Narges,Shop,650000,monthly,1884.06,345,1,30.02180862426757,31.465177536010746,False,False,Shop for rent 345m on the facade in AlNarges,Top Homes Egypt,Top Homes Real Estate,2026-05-12
65909291,Shop,Cairo,New Cairo,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Mivida,Shop,700000,monthly,2583.03,271,1,30.00575065612793,31.533998489379883,False,False,Shop Store for rent 271 sqm in Mivida Boulevard,Top Homes Egypt,Top Homes Real Estate,2026-05-12
65909263,Shop,Cairo,New Cairo,"One Ninety Mall, South Teseen St., The 5th Settlement, New Cairo City, Cairo",One Ninety Mall,Shop,175500,monthly,1500.0,117,1,30.014663696289062,31.406206130981445,False,False,"Pharmacy forrent,prime location/90 South directly",Top Homes Egypt,Top Homes Real Estate,2026-05-12
65665020,Shop,Cairo,New Cairo,"N 90 BUSINESS COMPLEX, North Teseen St., The 5th Settlement, New Cairo City, Cairo",N 90 BUSINESS COMPLEX,Shop,100000,monthly,1470.59,68,1,30.02827835083008,31.48352813720703,False,False,Luxury Finished Shop For Rent in  ( HQ ),Mohamed Raafat,Aspire Properties,2026-05-12
70109648,Shop,Giza,Sheikh Zayed,"Beverly Hills, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",Beverly Hills,Shop,120000,monthly,1250.0,96,none,30.06166648864746,30.94652366638184,False,False,Shop for rent for sale in walk of cairo,Shahenda karem,Property Hills Star,2026-05-12
65165159,Shop,Giza,Sheikh Zayed,"Ritzy, Al Shabab St., Sheikh Zayed City, Giza",Ritzy,Shop,100000,monthly,1492.54,67,1,30.031299591064453,30.99361991882324,False,False,Shop 67 Meters in one of the most Prime location,Ritzy Developments,Ritzy Developments,2026-05-12
65154509,Shop,Giza,Sheikh Zayed,"Al Karma 4, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",Al Karma 4,Shop,85000,monthly,850.0,100,1,30.040565490722656,30.99054336547852,False,False,SHOP FOE RENT IN KARMA 4 -100m,Bassam Abou Hatab,RE/MAX Al Mohager,2026-05-12
65154188,Shop,Giza,Giza,"Lebanon St., Mohandessin, Giza",Lebanon St.,Shop,150000,monthly,1250.0,120,1,30.05755424499512,31.195560455322266,False,False,120-meter commercial shop with commercial license,Mamdoh Ahmed,Guides Real Estate,2026-05-12
65154051,Shop,Giza,6th of October,"Centrada Plaza, Juhayna Square, 6 October City, Giza",Centrada Plaza,Shop,65000,monthly,1226.42,53,1,30.008350372314453,30.983800888061523,False,False,First floor retail shop for rent on Juhayna sq,Amir  Aziz,Abrag 2,2026-05-12
65154010,Shop,Giza,6th of October,"Centrada Plaza, Juhayna Square, 6 October City, Giza",Centrada Plaza,Shop,65000,monthly,1226.42,53,1,30.008350372314453,30.983800888061523,False,False,shop for rent prime location within Centrada Mall,Mina   ِِِAbdelmalak,Abrag 2,2026-05-12
64908579,Shop,Cairo,Cairo,"Capital East, Nasr City Compounds, Nasr City, Cairo",Capital East,Shop,12000,monthly,342.86,35,none,30.0338191986084,31.35781478881836,False,False,"35sqm Shop for Rent – Suitable for All Activities,",ahmed wageb,Ahmed Wageb for real estate investment,2026-05-12
64897579,Shop,Cairo,New Cairo,"ELEGANTRY, District 1, The 5th Settlement, New Cairo City, Cairo",ELEGANTRY,Shop,35000,monthly,1000.0,35,none,30.00735282897949,31.43020439147949,False,False,Shop for Rent at Elegantree Mall 35 sqm out41,Aseil Alaa,Al Ofok Investment,2026-05-12
64895984,Shop,Cairo,Cairo,"Masaken Sheraton, Sheraton Al Matar, El Nozha, Cairo",Masaken Sheraton,Shop,120000,monthly,400.0,300,5,30.105270385742188,31.37614822387696,False,False,Commercial Shop for Rent – Sheraton Residences,Amr ElNahas,RE/MAX 1st Choice,2026-05-12
64642225,Shop,Cairo,New Cairo,"One Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo",One Kattameya,Shop,360000,monthly,1000.0,360,2,29.98042678833008,31.356470108032227,False,False,Shop 360m for rent in one kattameya prime location,Mahmoud Zaki,INVEST PRO,2026-05-12
64641977,Shop,Cairo,Cairo,"Al Mostashar Hafez Badawi St., Al Hadiqah Al Dawliyah, 7th District, Nasr City, Cairo",Al Mostashar Hafez Badawi St.,Shop,30000,monthly,714.29,42,none,30.04149055480957,31.336633682250977,False,False,shop fully finished for rent in el hay 7 nasr city,Omnia Moustafa,Redefine,2026-05-12
64396505,Shop,Cairo,Cairo,"Tabarak, Zahraa El Maadi, Hay El Maadi, Cairo",Tabarak,Shop,12000,monthly,400.0,30,none,29.979713439941406,31.336990356445312,False,False,30m Shop Rent Ready To Operate – Zahraa Maadi,ahmed wageb,Ahmed Wageb for real estate investment,2026-05-12
64396229,Shop,Cairo,New Cairo,"Kernel Business Hub, North Teseen St., The 5th Settlement, New Cairo City, Cairo",Kernel Business Hub,Shop,69000,monthly,1500.0,46,none,30.019926071166992,31.43036651611328,False,False,commercial shop for rent perfect opportunity,Maria George,Strive Reality,2026-05-12
64393964,Shop,Cairo,Cairo,"Al Thawra St., El Korba, Heliopolis - Masr El Gedida, Cairo",Al Thawra St.,Shop,253650,monthly,950.0,267,none,30.08782196044922,31.33182716369629,False,False,Commercial for Rent in Thawra street-Heliopolis,Novus Stanza Adel,Novus Stanza,2026-05-12
64392851,Shop,Cairo,New Cairo,"Riviera heights, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Riviera heights,Shop,40440,monthly,898.67,45,none,30.02341079711914,31.486873626708984,False,False,Commercial space instant delivery Riviera Heig,Novus Stanza Adel,Novus Stanza,2026-05-12
64391718,Shop,Alexandria,Alexandria,"Abou Quer Road, Roushdy, Hay Sharq, Alexandria",Abou Quer Road,Shop,100000,monthly,425.53,235,2,31.22846031188965,29.952577590942383,False,False,Shop for rent 235 sqm Rushdi - (Abu Qir St.).,Ahmed Elsheikh,Coldwell Banker Platinum,2026-05-12
64387742,Shop,Cairo,New Cairo,"Agora Commercial Complex, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Agora Commercial Complex,Shop,144000,monthly,1500.0,96,none,30.01981735229492,31.52850341796875,False,False,Shop 96 m Agora Golden Square Fifth Settlement,Mohamed El Sayed,Summit Real Estate,2026-05-12
64386708,Shop,Giza,Sheikh Zayed,"Ritzy, Al Shabab St., Sheikh Zayed City, Giza",Ritzy,Shop,100000,monthly,1492.54,67,1,30.031299591064453,30.99361991882324,False,False,"Shop 67 Meters Prime Shop for Rent,Heart of Zayed",Ritzy Developments,Ritzy Developments,2026-05-12
64384120,Shop,Giza,Sheikh Zayed,"Ritzy, Al Shabab St., Sheikh Zayed City, Giza",Ritzy,Shop,250000,monthly,2252.25,111,2,30.031299591064453,30.99361991882324,False,False,111 Meters in strategic location-Strong investment,Ritzy Developments,Ritzy Developments,2026-05-12
64382778,Shop,Giza,Giza,"Ahmed Orabi St., Mohandessin, Giza",Ahmed Orabi St.,Shop,55000,monthly,846.15,65,1,30.06772232055664,31.19874382019043,False,False,"Shop for rent, 65 sq m, Ahmed Orabi Street – Mohan",محمد رضا,Property insider,2026-05-12
