scraped_date,type,city,region,price,area,bedrooms,bathrooms,floor_numeric,floor_label,furnished
2026-05-10,apartment,Giza,Sheikh Zayed,9500,180,3,2,2.0,2,yes
2026-05-10,apartment,Cairo,Heliopolis,8000,180,3,2,2.0,2,no
2026-05-10,apartment,Alexandria,Azarita,20000,220,3,2,8.0,8,no
2026-05-10,apartment,Giza,Sheikh Zayed,4000,70,2,1,3.0,3,no
2026-05-10,apartment,Cairo,Sheraton,8000,120,2,2,1.0,1,no
2026-05-10,apartment,Cairo,Heliopolis,6500,160,2,1,5.0,5,no
2026-05-10,apartment,Cairo,Nasr City,18000,200,4,3,8.0,8,no
2026-05-10,apartment,Cairo,Rehab City,14000,90,2,1,3.0,3,yes
2026-05-10,apartment,Alexandria,Azarita,30000,250,3,2,3.0,3,no
2026-05-10,apartment,Cairo,Madinaty,18000,140,3,2,3.0,3,yes
2026-05-10,apartment,Cairo,Nasr City,3700,90,2,1,4.0,4,no
2026-05-10,apartment,Alexandria,Gianaclis,6500,135,2,2,6.0,6,no
2026-05-10,apartment,Cairo,Madinaty,5500,109,3,2,0.0,Ground,no
2026-05-10,apartment,Cairo,Nasr City,3200,86,2,1,3.0,3,no
2026-05-10,apartment,Cairo,Nasr City,6000,150,3,1,3.0,3,no
2026-05-10,apartment,Giza,Sheikh Zayed,14000,165,3,2,1.0,1,yes
2026-05-10,apartment,Cairo,Nasr City,5500,120,2,1,2.0,2,no
2026-05-10,apartment,Cairo,Rehab City,16000,133,3,2,4.0,4,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,27000,250,3,3,2.0,2,no
2026-05-10,apartment,Giza,Sheikh Zayed,23000,223,3,3,0.0,Ground,no
2026-05-10,apartment,Cairo,Nasr City,5500,140,2,2,1.0,1,no
2026-05-10,apartment,Cairo,Rehab City,10500,180,3,3,5.0,5,no
2026-05-10,apartment,Cairo,Nasr City,5000,120,2,1,4.0,4,no
2026-05-10,apartment,Cairo,Nasr City,7000,150,2,1,1.0,1,yes
2026-05-10,apartment,Cairo,Rehab City,12000,120,2,1,4.0,4,yes
2026-05-10,apartment,Cairo,Nasr City,5000,200,3,2,4.0,4,no
2026-05-10,apartment,Giza,Sheikh Zayed,19000,180,3,3,2.0,2,no
2026-05-10,apartment,Cairo,Madinaty,7000,65,2,1,2.0,2,yes
2026-05-10,apartment,Cairo,Madinaty,5500,106,3,2,0.0,Ground,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,7000,180,2,2,3.0,3,no
2026-05-10,apartment,Cairo,Nasr City,5000,110,2,1,3.0,3,no
2026-05-10,studio,Giza,Sheikh Zayed,15000,100,1,2,2.0,2,no
2026-05-10,apartment,Cairo,Shorouk City,3700,130,3,2,3.0,3,no
2026-05-10,apartment,Cairo,Rehab City,11500,182,3,3,5.0,5,no
2026-05-10,apartment,Cairo,Madinaty,6000,100,2,1,0.0,Ground,no
2026-05-10,apartment,Cairo,Nasr City,3800,120,3,1,6.0,6,no
2026-05-10,apartment,Giza,Sheikh Zayed,13000,134,2,2,2.0,2,no
2026-05-10,apartment,Cairo,Rehab City,14000,58,1,1,0.0,Ground,yes
2026-05-10,apartment,Cairo,Madinaty,11000,143,3,2,1.0,1,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,10000,150,3,2,2.0,2,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,9000,120,2,1,2.0,2,yes
2026-05-10,apartment,Cairo,Rehab City,7000,99,2,1,1.0,1,no
2026-05-10,apartment,Giza,Sheikh Zayed,11000,72,2,1,2.0,2,yes
2026-05-10,apartment,Cairo,Madinaty,12000,150,3,2,5.0,5,no
2026-05-10,apartment,Giza,Sheikh Zayed,15000,180,3,3,2.0,2,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,15000,170,3,2,0.0,Ground,no
2026-05-10,studio,Cairo,New Cairo - El Tagamoa,13000,100,1,1,0.0,Ground,no
2026-05-10,duplex,Giza,Sheikh Zayed,30000,285,4,4,0.0,Ground,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,9000,175,3,3,2.0,2,no
2026-05-10,apartment,Cairo,Rehab City,7500,180,2,3,1.0,1,no
2026-05-10,apartment,Cairo,Madinaty,8000,90,2,1,2.0,2,yes
2026-05-10,studio,Cairo,New Cairo - El Tagamoa,14000,88,1,1,2.0,2,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,22000,238,3,4,2.0,2,no
2026-05-10,apartment,Cairo,Madinaty,5500,82,2,1,0.0,Ground,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,17000,217,3,4,2.0,2,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,15000,131,3,2,2.0,2,no
2026-05-10,apartment,Cairo,Nasr City,17000,280,3,2,7.0,7,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,17000,133,2,2,2.0,2,no
2026-05-10,apartment,Giza,Sheikh Zayed,4000,97,2,1,1.0,1,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,19000,148,2,3,2.0,2,no
2026-05-10,apartment,Cairo,Nasr City,4500,90,2,1,7.0,7,no
2026-05-10,apartment,Giza,Sheikh Zayed,11000,70,2,1,4.0,4,yes
2026-05-10,apartment,Cairo,Madinaty,5000,96,2,2,1.0,1,no
2026-05-10,apartment,Cairo,Madinaty,7500,140,3,2,4.0,4,no
2026-05-10,apartment,Cairo,Nasr City,3800,100,2,2,5.0,5,no
2026-05-10,apartment,Giza,Faisal,10000,140,2,1,10.0,10+,yes
2026-05-10,apartment,Alexandria,Sidi Beshr,4200,100,2,1,2.0,2,yes
2026-05-10,apartment,Giza,Sheikh Zayed,20000,250,5,3,1.0,1,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,21000,238,3,3,2.0,2,no
2026-05-10,apartment,Cairo,Nasr City,3500,96,2,1,2.0,2,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,23000,230,3,3,0.0,Ground,no
2026-05-10,apartment,Cairo,Nasr City,17000,250,4,2,0.0,Ground,no
2026-05-10,apartment,Giza,Sheikh Zayed,6000,150,3,2,2.0,2,no
2026-05-10,apartment,Giza,Sheikh Zayed,10000,250,5,3,2.0,2,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,9000,162,3,3,3.0,3,no
2026-05-10,apartment,Cairo,Nasr City,3500,100,3,1,3.0,3,no
2026-05-10,apartment,Alexandria,Al Ibrahimiyyah,17000,160,3,2,10.0,10+,no
2026-05-10,apartment,Cairo,Nasr City,22000,300,4,3,2.0,2,no
2026-05-10,apartment,Cairo,Madinaty,12000,135,3,2,0.0,Ground,yes
2026-05-10,duplex,Giza,Sheikh Zayed,35000,245,3,3,0.0,Ground,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,18000,143,2,2,3.0,3,no
2026-05-10,apartment,Cairo,Nasr City,3400,120,3,1,1.0,1,no
2026-05-10,apartment,Giza,Sheikh Zayed,6500,130,3,2,3.0,3,no
2026-05-10,apartment,Cairo,Rehab City,20000,90,2,1,4.0,4,yes
2026-05-10,apartment,Cairo,Madinaty,5000,92,2,1,3.0,3,no
2026-05-10,apartment,Cairo,Madinaty,12000,89,2,2,0.0,Ground,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,5000,160,2,2,3.0,3,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,17000,144,2,2,2.0,2,no
2026-05-10,apartment,Giza,Sheikh Zayed,20000,150,3,2,1.0,1,yes
2026-05-10,apartment,Cairo,Rehab City,8500,136,2,1,2.0,2,no
2026-05-10,duplex,Giza,Sheikh Zayed,40000,245,5,4,0.0,Ground,yes
2026-05-10,apartment,Cairo,Rehab City,8500,136,2,2,0.0,Ground,no
2026-05-10,apartment,Giza,Sheikh Zayed,15000,200,3,2,3.0,3,no
2026-05-10,apartment,Cairo,Rehab City,15000,96,2,1,2.0,2,yes
2026-05-10,apartment,Cairo,Madinaty,8000,140,3,2,4.0,4,no
2026-05-10,studio,Cairo,New Cairo - El Tagamoa,12000,85,1,1,0.0,Ground,no
2026-05-10,studio,Cairo,Rehab City,8000,70,1,1,0.0,Ground,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,15000,148,2,2,2.0,2,no
2026-05-10,apartment,Cairo,Rehab City,7500,99,2,1,3.0,3,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,7500,215,3,3,1.0,1,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,4900,65,2,1,3.0,3,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,22000,207,3,3,3.0,3,no
2026-05-10,apartment,Giza,Sheikh Zayed,14000,140,2,2,2.0,2,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,10000,110,2,1,2.0,2,no
2026-05-10,apartment,Giza,Sheikh Zayed,27000,209,3,3,1.0,1,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,28000,156,2,2,1.0,1,yes
2026-05-10,apartment,Cairo,Rehab City,22000,122,3,2,0.0,Ground,yes
2026-05-10,apartment,Alexandria,San Stefano,14000,235,3,3,3.0,3,no
2026-05-10,apartment,Giza,Sheikh Zayed,13000,196,2,2,0.0,Ground,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,9000,165,3,2,0.0,Ground,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,35000,130,2,2,0.0,Ground,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,12500,100,1,1,0.0,Ground,no
2026-05-10,apartment,Cairo,Rehab City,18000,99,2,1,2.0,2,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,15000,141,3,2,2.0,2,no
2026-05-10,duplex,Cairo,New Cairo - El Tagamoa,8000,200,2,2,2.0,2,no
2026-05-10,apartment,Alexandria,Sidi Beshr,3200,90,2,1,3.0,3,yes
2026-05-10,apartment,Cairo,Rehab City,7500,131,3,2,5.0,5,no
2026-05-10,apartment,Cairo,Rehab City,10000,90,2,1,3.0,3,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,23000,200,2,3,3.0,3,no
2026-05-10,apartment,Alexandria,Seyouf,3500,150,3,2,1.0,1,no
2026-05-10,apartment,Cairo,Rehab City,16000,99,2,1,4.0,4,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,17000,130,2,3,3.0,3,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,8500,230,3,2,2.0,2,no
2026-05-10,studio,Cairo,Rehab City,10000,60,1,1,0.0,Ground,yes
2026-05-10,apartment,Cairo,Nasr City,10000,250,3,3,4.0,4,no
2026-05-10,apartment,Cairo,Madinaty,5500,89,2,2,4.0,4,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,16000,140,2,2,4.0,4,yes
2026-05-10,apartment,Giza,Sheikh Zayed,15000,160,2,2,2.0,2,yes
2026-05-10,apartment,Giza,Sheikh Zayed,20000,140,3,2,4.0,4,yes
2026-05-10,apartment,Giza,Sheikh Zayed,17000,200,3,2,3.0,3,yes
