Id_cost,governorate,city,category,item,avg_price_egp,min_price_egp,max_price_egp
1287,Cairo,Cairo,Utilities (Monthly),"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",435,300,570
1288,Cairo,Cairo,Utilities (Monthly),"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",720.33,450,1000
1289,Cairo,Cairo,Sports And Leisure,Monthly Fitness Club Membership,1200,,
1290,Cairo,Cairo,Sports And Leisure,"Tennis Court Rental (1 Hour, Weekend)",100,,
1291,Cairo,Cairo,Sports And Leisure,Cinema Ticket (International Release),150,150,150
1292,Cairo,Cairo,Childcare,"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",4155.56,3000,5000
1293,Cairo,Cairo,Childcare,"International Primary School, Annual Tuition per Child",111363.64,100000,308661.93
1294,Cairo,Cairo,Clothing And Shoes,Jeans (Levi's 501 or Similar),1503.57,750,3000
1295,Cairo,Cairo,Clothing And Shoes,Summer Dress in a Chain Store (e.g. Zara or H&M),2300,1500,3000
1296,Cairo,Cairo,Clothing And Shoes,Nike Running Shoes (Mid-Range),6083.33,4000,7000
1297,Cairo,Cairo,Clothing And Shoes,Men's Leather Business Shoes,3000,1000,5000
1298,Cairo,Cairo,Rent Per Month,1 Bedroom Apartment in City Centre,20000,,
1299,Cairo,Cairo,Rent Per Month,1 Bedroom Apartment Outside of City Centre,15000,,
1300,Cairo,Cairo,Rent Per Month,3 Bedroom Apartment in City Centre,40000,,
1301,Cairo,Cairo,Rent Per Month,3 Bedroom Apartment Outside of City Centre,35000,,
1302,Cairo,Cairo,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,50000,,
1303,Cairo,Cairo,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,20000,,
1304,Cairo,Cairo,Salaries And Financing,Average Monthly Net Salary (After Tax),9500,,
1305,Cairo,Cairo,Salaries And Financing,"Annual Mortgage Interest Rate (20-Year Fixed, in %)",11.4,9,24
1306,Cairo,New Cairo,Restaurants,Meal at an Inexpensive Restaurant,200,100,500
1307,Cairo,New Cairo,Restaurants,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",1200,800,2500
