city,name,amenity,shop
Assiut,professional clothing,,clothes
Assiut,Kayan,restaurant,
Assiut,Apache Chicken,fast_food,
Assiut,Unknown,,clothes
Assiut,LC WAIKIKI,,clothes
Assiut,Heart Attack,fast_food,
Assiut,Jory Fashion,,clothes
Assiut,Cottonil,,clothes
Assiut,Kamouna,fast_food,
Assiut,Grand Plaza,,clothes
Port Said,قهوه فوليه,cafe,
Port Said,Unknown,restaurant,
Port Said,Vodafone,,mobile_phone
Port Said,Gianola,cafe,
Port Said,Unknown,cafe,
Port Said,Beetle Vintage,cafe,
Port Said,فيش فيش,restaurant,
Port Said,اسماك محسن -فرع الزهور,restaurant,
Port Said,مطعم شروق,fast_food,
Port Said,Elite,cafe,
Port Said,صيدليه ابو الغيط,pharmacy,
Port Said,معصرة عجوة,fast_food,
Port Said,يتزا بينو,restaurant,
Port Said,Diva Store,,clothes
Port Said,Porto Pizza,restaurant,
Port Said,دوناتس كافيه,cafe,
Port Said,سلورة,fast_food,
Port Said,ابو مؤمن,restaurant,
Port Said,كافيه سينترال بيرك,restaurant,
Port Said,صيدليه الطحان,pharmacy,
Port Said,صيدلية أنصار السنة المحمدية,pharmacy,
Port Said,اكتف ابو علاء,,clothes
Port Said,محمد واحمد,pharmacy,
Port Said,القمر السورى,fast_food,
Port Said,Beg pizza,restaurant,
Port Said,elite,cafe,
