Id Business,Business Name,Category,City
616,demo store,clothes,Alexandria
617,mcdonald's,restaurant,Alexandria
618,ليجند,clothes,Alexandria
619,الحنين,fast_food,Alexandria
620,panorama,cafe,Alexandria
621,نادي الجالية,restaurant,Alexandria
622,pronto,restaurant,Assiut
623,كافتريا الجامعة,cafe,Assiut
624,قهوة البحار مندي,cafe,Assiut
625,محل كشري,restaurant,Assiut
626,فطاطري الزعيم وحواوشي,restaurant,Assiut
627,ساندوتش الأزهر,restaurant,Assiut
628,سيلينترو,cafe,Assiut
629,كشري ابو عمار,restaurant,Assiut
630,صيدلية عبد المعتمد,pharmacy,Assiut
631,الشبراوي,restaurant,Assiut
632,سوناتا كافيه,cafe,Assiut
633,خير زمان ماركت,supermarket,Assiut
634,ziad cafe & monster playstation,cafe,Assiut
635,وافلز الحاره,cafe,Assiut
636,كشري المدينة ٢,fast_food,Assiut
637,pizza,fast_food,Assiut
638,double chickana,fast_food,Assiut
639,professional clothing,clothes,Assiut
640,kayan,restaurant,Assiut
641,apache chicken,fast_food,Assiut
642,lc waikiki,clothes,Assiut
643,heart attack,fast_food,Assiut
644,jory fashion,clothes,Assiut
645,cottonil,clothes,Assiut
646,kamouna,fast_food,Assiut
647,grand plaza,clothes,Assiut
648,قهوه فوليه,cafe,Port Said
649,vodafone,mobile_phone,Port Said
650,gianola,cafe,Port Said
651,beetle vintage,cafe,Port Said
652,فيش فيش,restaurant,Port Said
653,اسماك محسن -فرع الزهور,restaurant,Port Said
654,مطعم شروق,fast_food,Port Said
655,elite,cafe,Port Said
656,صيدليه ابو الغيط,pharmacy,Port Said
657,معصرة عجوة,fast_food,Port Said
658,يتزا بينو,restaurant,Port Said
659,diva store,clothes,Port Said
660,porto pizza,restaurant,Port Said
661,دوناتس كافيه,cafe,Port Said
662,سلورة,fast_food,Port Said
663,ابو مؤمن,restaurant,Port Said
664,كافيه سينترال بيرك,restaurant,Port Said
665,صيدليه الطحان,pharmacy,Port Said
666,صيدلية أنصار السنة المحمدية,pharmacy,Port Said
667,اكتف ابو علاء,clothes,Port Said
668,محمد واحمد,pharmacy,Port Said
669,القمر السورى,fast_food,Port Said
670,beg pizza,restaurant,Port Said
671,elite,cafe,Port Said
